Act   Max   Min   Avg
0   0   0   -nan
20431   27868   11472   12496.215774
16593   185118   11472   12543.310309
17606   185118   11472   12517.253997
11821   185118   11472   12500.078202
12194   185118   11469   12513.736363
16071   185118   11469   12534.173853
14927   185118   11469   12545.857763
13062   185118   11469   12582.520103
22409   185118   11469   12617.309995
22112   185118   11469   12676.101921
11794   185118   11469   12676.198145
17209   185118   11469   12673.434581
11844   185118   11469   12670.245146
12026   185118   11469   12659.011013
12117   185118   11457   12655.096407
13812   185118   11457   12655.584488
17896   185118   11457   12657.673927
18083   185118   11457   12652.078380
19707   185118   10450   12649.939389
14572   185118   10324   12599.105884
11103   185118   10324   12554.901221
12036   185118   10324   12530.226969
10753   185118   10324   12521.509923
12222   185118   10324   12520.507998
14050   185118   10320   12506.652600
11011   185118   10320   12470.611784
11294   185118   10320   12441.126816
11380   185118   10320   12416.683378
13436   185118   10320   12396.701995
15450   185118   10320   12379.419823
16898   185118   10320   12368.328997
12582   185118   10320   12357.777875
11729   185118   10320   12354.279026
13769   185118   10320   12353.394597
22021   185118   10320   12352.595958
11870   185118   10320   12348.697089
11948   185118   10320   12347.155240
15605   185118   10320   12350.984361
12335   185118   10320   12355.824806
13440   185118   10320   12362.206156
11765   185118   10320   12367.624263
11792   185118   10320   12370.062588
12456   185118   10320   12373.864128
20991   185118   10320   12378.886753
22335   185118   10320   12385.035764
11857   185118   10320   12387.799684
22778   185118   10320   12392.313858
14715   185118   10320   12397.202331
13062   185118   10320   12403.660553
12124   185118   10320   12409.591210
11348   185118   10320   12414.003532
16398   185118   10320   12408.641675
18179   185118   10320   12403.923839
15456   185118   10320   12396.587433
12482   185118   10320   12389.810028
13414   185118   10320   12386.255835
15070   185118   10320   12383.409059
11478   185118   10320   12380.237092
11536   185118   10320   12375.686542
11909   185118   10320   12373.546280
12666   185118   10320   12373.415244
12185   185118   10320   12372.885799
11764   185118   10320   12373.220884
13073   185118   10320   12373.301293
11927   185118   10320   12373.452211
12284   185118   10320   12373.987955
11636   185118   10320   12374.782296
11832   185118   10320   12373.637355
12035   185118   10320   12373.498932
11738   185118   10320   12374.837461
12074   185118   10320   12376.067239
11947   185118   10320   12377.456857
16954   185118   10320   12378.686316
12072   185118   10320   12380.265142
16476   185118   10320   12381.791336
18749   194609   10320   12384.921610
11958   194609   10320   12388.752884
15000   194609   10320   12390.833151
11709   194609   10320   12392.194180
11895   194609   10320   12392.317933
11906   194609   10320   12394.285817
12143   194609   10320   12395.296351
12118   194609   10320   12396.768748
21308   194609   10320   12400.722861
12359   194609   10320   12406.207371
15999   194609   10320   12410.928726
18693   194609   10320   12415.082837
18355   194609   10320   12419.998336
11951   194609   10320   12425.611199
12134   194609   10320   12430.485352
13259   194609   10320   12435.191573
12109   194609   10320   12439.876789
11995   194609   10320   12445.157786
12870   194609   10320   12450.143157
12468   194609   10320   12453.307489
12002   194609   10320   12455.810456
13675   194609   10320   12457.803145
12367   194609   10320   12459.686211
15440   194609   10320   12461.309138
12088   194609   10320   12462.522502
16482   194609   10320   12464.019124
13845   194609   10320   12467.329891
19015   194609   10320   12469.926109
17619   194609   10320   12472.422423
13041   194609   10320   12474.583631
15209   194609   10320   12475.885387
13058   194609   10320   12476.846661
11848   194609   10320   12477.929703
12376   194609   10320   12478.753084
21173   194609   10320   12480.082169
12431   194609   10320   12481.468014
11943   194609   10320   12482.735688
12731   194609   10320   12483.528024
12197   194609   10320   12483.996785
11984   194609   10320   12484.435039
15182   194609   10320   12485.028896
13096   194609   10320   12485.033715
16631   194609   10320   12485.025675
13848   194609   10320   12485.288417
12723   194609   10320   12486.099762
15704   194609   10320   12487.560188
15699   194609   10320   12488.811834
14958   194609   10320   12490.169246
13686   194609   10320   12491.584736
13951   194609   10320   12493.155187
11953   194609   10320   12494.331191
11884   194609   10320   12495.551355
15579   194609   10320   12496.620927
14758   194609   10320   12497.288280
12327   194609   10320   12498.332463
11700   194609   10320   12499.168751
14451   194609   10320   12500.052970
12230   194609   10320   12500.848674
11829   194609   10320   12502.236577
13037   194609   10320   12503.221419
13840   194609   10320   12504.498847
15355   194609   10320   12506.021235
13022   194609   10320   12507.273157
16647   194609   10320   12508.604509
12032   194609   10320   12509.226359
19398   194609   10320   12510.187179
12077   194609   10320   12511.222572
13507   194609   10320   12512.073251
14291   194609   10320   12513.678262
12992   194609   10320   12514.280424
12055   194609   10320   12515.036583
13441   194609   10320   12516.251157
16884   194609   10320   12517.357750
12507   194609   10320   12519.373827
18865   194609   10320   12521.825936
20794   194609   10320   12524.122012
12726   194609   10320   12526.193186
12704   194609   10320   12528.170863
22609   194609   10320   12530.280289
12674   194609   10320   12532.220569
12008   194609   10320   12534.340501
17712   194609   10320   12536.270618
12723   194609   10320   12538.315235
16515   194609   10320   12540.291285
11943   194609   10320   12542.037805
11844   194609   10320   12543.699189
12264   194609   10320   12545.567145
12608   194609   10320   12547.102601
14971   194609   10320   12548.643578
12749   194609   10320   12550.099839
12233   194609   10320   12551.936361
12233   194609   10320   12553.303307
26445   194609   10320   12555.118516
11934   194609   10320   12556.409794
13462   194609   10320   12557.841328
11824   194609   10320   12558.956524
11956   194609   10320   12560.429422
23330   194609   10320   12561.923636
12039   194609   10320   12563.453982
12366   194609   10320   12565.368641
21995   194609   10320   12566.846660
12204   194609   10320   12568.520561
